Date,Close
3/2/2015 16:00:00,79.75
3/3/2015 16:00:00,79.6
3/4/2015 16:00:00,80.9
3/5/2015 16:00:00,81.21
3/6/2015 16:00:00,80.01
3/9/2015 16:00:00,79.44
3/10/2015 16:00:00,77.55
3/11/2015 16:00:00,77.57
3/12/2015 16:00:00,78.93
3/13/2015 16:00:00,78.05
3/16/2015 16:00:00,78.07
3/17/2015 16:00:00,79.36
3/18/2015 16:00:00,80.91
3/19/2015 16:00:00,82.75
3/20/2015 16:00:00,83.8
3/23/2015 16:00:00,84.43
3/24/2015 16:00:00,85.31
3/25/2015 16:00:00,82.92
3/26/2015 16:00:00,83.01
3/27/2015 16:00:00,83.3
3/30/2015 16:00:00,83.2
3/31/2015 16:00:00,82.22
4/1/2015 16:00:00,81.67
4/2/2015 16:00:00,81.56
4/6/2015 16:00:00,82.44
4/7/2015 16:00:00,82.32
4/8/2015 16:00:00,82.28
4/9/2015 16:00:00,82.17
4/10/2015 16:00:00,82.04
4/13/2015 16:00:00,83.01
4/14/2015 16:00:00,83.52
4/15/2015 16:00:00,82.71
4/16/2015 16:00:00,82.31
4/17/2015 16:00:00,80.78
4/20/2015 16:00:00,83.09
4/21/2015 16:00:00,83.62
4/22/2015 16:00:00,84.63
4/23/2015 16:00:00,82.41
4/24/2015 16:00:00,81.53
4/27/2015 16:00:00,81.91
4/28/2015 16:00:00,80.68
4/29/2015 16:00:00,80.47
4/30/2015 16:00:00,78.77
5/1/2015 16:00:00,78.99
5/4/2015 16:00:00,78.81
5/5/2015 16:00:00,77.56
5/6/2015 16:00:00,78.1
5/7/2015 16:00:00,78.43
5/8/2015 16:00:00,78.51
5/11/2015 16:00:00,78.01
5/12/2015 16:00:00,77.46
5/13/2015 16:00:00,78.44
5/14/2015 16:00:00,81.37
5/15/2015 16:00:00,80.42
5/18/2015 16:00:00,80.88
5/19/2015 16:00:00,80.63
5/20/2015 16:00:00,80.55
5/21/2015 16:00:00,80.48
5/22/2015 16:00:00,80.54
5/26/2015 16:00:00,79.33
5/27/2015 16:00:00,80.55
